	Gene	Chrom	Start-End	nSNPS	TopSNP P-Value	TopSNP Position	Negative Log	HumanGene
11957	LOC108350135	chr2	253689064-253699437	86	0.0215773	253686399	1.6660029	
11958	LOC108350136	chr2	254527582-254552668	133	0.224953	254556796	0.647908211	
11959	LOC108350137	chr2	254575992-254582907	11	0.248447	254567874	0.604766243	
11960	LOC108350138	chr2	255459342-255476852	97	0.111785	255482319	0.951616469	
11961	LOC108350139	chr2	255624549-255672516	319	0.0427554	255660163	1.369009026	
11962	LOC108350140	chr2	256554093-256567272	48	0.0314377	256545030	1.502549235	
11963	LOC108350141	chr2	257195169-257207692	54	0.397857	257207888	0.400272996	
11964	LOC108350144	chr2	257548914-257554706	16	0.433801	257547672	0.362709451	
11965	LOC108350145	chr2	258228613-258235806	65	0.246531	258227365	0.608128463	
11966	LOC108350147	chr2	"263778724-263863973,263790031-263863973"	227	0.158728	263780585	0.799346456	
11967	LOC108350149	chr2	264664148-264680261	76	0.0748089	264681665	1.126046731	
11968	LOC108350151	chr2	266317788-266325050	28	0.0930643	266309119	1.031216885	
11969	LOC108350152	chr2	2505955-2513366	8	0.536196	2498701	0.27067643	
11970	LOC108350166	chr2	44911062-44913406	24	0.538309	44921647	0.268968359	
11971	LOC108350184	chr2	124992684-124993323	8	0.00209712	124990811	2.678376718	
11972	LOC108350189	chr2	153997896-153999718	42	0.06703	154007621	1.173730781	
11973	LOC108350198	chr2	182716670-182752870	162	0.417066	182729379	0.379795213	
11974	LOC108350201	chr2	192423023-192434422	1	0.181109	192431601	0.742059967	
11975	LOC108350204	chr2	206997833-207010199	24	0.0379202	207020010	1.421129381	
11976	LOC108350210	chr2	40897161-40970497	179	0.00147162	40901527	2.832204319	
11977	LOC108350211	chr2	40374400-40382706	4	0.668275	40368096	0.175044785	
11978	LOC108350214	chr2	231685405-231687029	2	0.296039	231689563	0.528651071	
11979	LOC108350215	chr2	231800027-231815720	5	0.26196	231792848	0.581765018	
11980	LOC108350216	chr2	231724703-231824433	18	0.220547	231754853	0.656498845	
11981	LOC108350217	chr2	247515599-247526092	90	0.550794	247515939	0.259010799	
11982	LOC108350218	chr2	259726760-259733434	58	0.0785461	259721526	1.104875374	
11983	LOC108350219	chr2	259734393-259803545	283	0.148697	259750165	0.827697793	
11984	LOC108350222	chr2	22459265-22462659	93	0.21311	22471063	0.671396171	
11985	LOC108350223	chr2	24557231-24558675	38	0.666232	24548837	0.176374511	
11986	LOC108350224	chr2	31979496-31981431	35	0.0730784	31976036	1.13621097	
11987	LOC108350225	chr2	46066779-46067727	23	0.482679	46060151	0.316341596	
11988	LOC108350231	chr2	75710890-75711808	8	0.0990036	75709808	1.004349013	
11989	LOC108350232	chr2	96321763-96325294	25	0.789835	96325044	0.102463625	
11990	LOC108350236	chr2	108964095-108983280	69	0.498043	108983363	0.30273316	
11991	LOC108350240	chr2	120413320-120415508	39	0.176952	120405065	0.752144524	
11992	LOC108350241	chr2	121238482-121243625	87	0.00466032	121242641	2.331584262	
11993	LOC108350243	chr2	124565676-124568553	39	0.522588	124558048	0.281840567	
11994	LOC108350244	chr2	127359294-127363392	95	0.0860254	127359437	1.065373299	
11995	LOC108350245	chr2	128024822-128040099	91	0.0466147	128027593	1.331477106	
11996	LOC108350246	chr2	133499954-133502346	40	0.00535297	133499493	2.271405191	
11997	LOC108350248	chr2	140004633-140006567	32	5.42E-05	140016566	4.265756391	
11998	LOC108350251	chr2	153365694-153375168	18	0.179093	153376537	0.746921389	
11999	LOC108350269	chr2	168123783-168177984	194	0.377156	168177580	0.423478979	
12000	LOC108350286	chr2	225532188-225542155	45	0.0270496	225528161	1.567839153	
12001	LOC108350288	chr2	233532001-233542076	84	0.358072	233531159	0.446029638	
12002	LOC108350289	chr2	233542171-233542892	78	0.366169	233533566	0.436318426	
12003	LOC108350291	chr2	235996828-236003567	18	0.204034	236013405	0.690297456	
12004	LOC108350293	chr2	253176009-253179911	31	0.42999	253188574	0.366541644	
12005	LOC108350294	chr2	253681996-253682666	65	0.0215773	253686399	1.6660029	
12006	LOC108350296	chr2	260157888-260159055	40	0.235171	260150853	0.628616234	
12007	LOC108350297	chr2	262379122-262386877	39	0.736011	262393563	0.133115695	
12008	LOC108350339	chr3	3243651-3248457	42	0.112473	3257513	0.948951721	
12009	LOC108350340	chr3	"3798480-3801509,3798480-3807934"	54	0.208699	3804518	0.680479632	
12010	LOC108350341	chr3	4024989-4027645	66	0.535092	4028453	0.271571542	
12011	LOC108350342	chr3	4898352-4900971	1	0.44521	4899368	0.351435089	
12012	LOC108350343	chr3	6870746-6882922	50	0.201118	6875552	0.696549058	
12013	LOC108350344	chr3	6923770-6950556	67	0.289015	6928083	0.539079617	
12014	LOC108350345	chr3	7660062-7676313	44	0.185852	7650150	0.730832761	
12015	LOC108350346	chr3	7835233-7841766	33	0.742329	7834220	0.129403573	
12016	LOC108350347	chr3	8495047-8498030	9	0.88276	8491138	0.054157354	
12017	LOC108350348	chr3	9603992-9605980	42	0.529902	9607146	0.275804441	
12018	LOC108350349	chr3	10200236-10202187	13	0.222403	10208743	0.652859359	
12019	LOC108350350	chr3	10543028-10550067	83	0.388699	10538011	0.410386577	
12020	LOC108350351	chr3	13031146-13048043	24	0.81873	13050780	0.086859296	
12021	LOC108350352	chr3	13135443-13168658	93	0.732096	13172107	0.135431966	
12022	LOC108350353	chr3	13482729-13484818	3	0.595781	13486178	0.224913351	
12023	LOC108350354	chr3	13882532-13884996	17	0.179956	13877250	0.744833669	
12024	LOC108350356	chr3	14913441-14921584	42	0.0991588	14912658	1.003668738	
12025	LOC108350357	chr3	15197374-15199549	27	0.476767	15195029	0.321693812	
12026	LOC108350358	chr3	15345889-15349563	26	0.430734	15357482	0.365790846	
12027	LOC108350359	chr3	15519873-15522928	38	0.291738	15514623	0.535006999	
12028	LOC108350364	chr3	21582929-21588062	6	0.947704	21582511	0.023327286	
12029	LOC108350365	chr3	21684150-21695216	5	0.887773	21686860	0.051698067	
12030	LOC108350366	chr3	"22716076-22783722,22732898-22783722,22740985-22780053,22746216-22783722,22777460-22783722"	98	0.440438	22735249	0.356115218	
12031	LOC108350367	chr3	29521593-29526603	6	0.890655	29529576	0.05029049	
12032	LOC108350368	chr3	29402835-29411320	54	0.745673	29418649	0.127451582	
12033	LOC108350369	chr3	"30297555-30331391,30297555-30331391"	112	0.239143	30314215	0.621342327	
12034	LOC108350370	chr3	30891012-30894479	36	0.0172041	30884542	1.764368042	
12035	LOC108350371	chr3	30901684-30927400	17	0.0203749	30909336	1.690904514	
12036	LOC108350372	chr3	"32680869-32735426,32722490-32735426"	101	0.49513	32734460	0.305280759	
12037	LOC108350373	chr3	39357405-39372197	66	0.363973	39354961	0.438930832	
12038	LOC108350374	chr3	"40983011-41019952,41008922-41019952,41008922-41019952,41008922-41019952"	66	0.171434	40992765	0.765903042	
12039	LOC108350375	chr3	43162609-43182901	118	0.16153	43158151	0.791746807	
12040	LOC108350376	chr3	"43868705-43871300,43868902-43871300"	40	0.662264	43875260	0.178968852	
12041	LOC108350377	chr3	45484532-45488540	42	0.70026	45491734	0.154740681	
12042	LOC108350378	chr3	45526213-45554205	117	0.610131	45560923	0.214576908	
12043	LOC108350379	chr3	46741905-46752948	28	0.111948	46752516	0.950983661	
12044	LOC108350380	chr3	47407607-47411687	52	0.0379523	47407562	1.4207619	
12045	LOC108350381	chr3	47322734-47403653	133	0.0356807	47347503	1.447566634	
12046	LOC108350382	chr3	"47311999-47319863,47311999-47319863"	10	0.044426	47323550	1.352362788	
12047	LOC108350383	chr3	49169041-49172595	17	0.0207208	49181086	1.683593481	
12048	LOC108350384	chr3	49824555-49834552	151	0.0220868	49833812	1.655867201	
12049	LOC108350385	chr3	"49954496-49976235,49954496-49980586"	70	0.0170137	49952691	1.769201229	
12050	LOC108350387	chr3	52533424-52642383	239	0.600517	52635014	0.221474694	
12051	LOC108350388	chr3	52510714-52517853	32	0.535252	52511271	0.271441701	
12052	LOC108350389	chr3	55459771-55517670	231	0.0857144	55498455	1.066946211	
12053	LOC108350391	chr3	56762436-56767853	31	0.00282484	56757562	2.549006146	
12054	LOC108350404	chr3	64148618-64154370	11	0.00361513	64146225	2.441876081	
12055	LOC108350405	chr3	64168149-64182635	13	0.00328566	64175884	2.483377379	
12056	LOC108350406	chr3	65343638-65346940	8	0.442172	65351185	0.354408762	
12057	LOC108350407	chr3	65813004-65815426	14	0.0157044	65810335	1.803978652	
12058	LOC108350408	chr3	66418193-66443018	7	0.00130764	66411747	2.883511803	
12059	LOC108350409	chr3	66547456-66569904	120	0.00154518	66556894	2.811020922	
12060	LOC108350412	chr3	"71947360-71952678,71947360-71953655"	14	0.0262039	71940848	1.581634067	
12061	LOC108350413	chr3	72267508-72269262	1	0.0567102	72259759	1.246338821	
12062	LOC108350416	chr3	81312019-81314991	27	0.363618	81302962	0.439354626	
12063	LOC108350417	chr3	"81403570-81433615,81403570-81433615"	39	0.393901	81430597	0.404612917	
12064	LOC108350418	chr3	81753235-81755676	2	0.679588	81751844	0.167754298	
12065	LOC108350420	chr3	91041458-91051805	56	0.618307	91047478	0.208795837	
12066	LOC108350425	chr3	93763739-93807897	49	0.503019	93799050	0.29841561	
12067	LOC108350426	chr3	93965500-93968836	1	0.137802	93955598	0.860744479	
12068	LOC108350428	chr3	"96065829-96132988,96065833-96132988,96065835-96132988"	40	0.12395	96126493	0.906753469	
12069	LOC108350429	chr3	96014161-96023060	7	0.167299	96007150	0.776506655	
12070	LOC108350432	chr3	97660411-97678903	85	0.0828203	97670040	1.081863201	
12071	LOC108350433	chr3	98033720-98045500	68	0.232984	98054867	0.632673903	
12072	LOC108350437	chr3	105299344-105304909	39	0.592946	105298236	0.226984856	
12073	LOC108350438	chr3	106057650-106061860	4	0.794773	106055719	0.099756895	
12074	LOC108350439	chr3	106312745-106320224	48	0.766948	106304511	0.115234081	
12075	LOC108350440	chr3	108688163-108721063	72	0.116598	108697555	0.933308899	
12076	LOC108350441	chr3	108775092-108782815	10	0.260177	108771401	0.584731098	
12077	LOC108350442	chr3	"109146840-109163929,109146853-109163929"	64	0.0163689	109147874	1.785980504	
12078	LOC108350445	chr3	"112203064-112221301,112203300-112221301,112203300-112221301"	70	0.0627435	112223107	1.202431259	
12079	LOC108350447	chr3	112789601-112798854	61	0.075989	112786804	1.119249271	
12080	LOC108350448	chr3	113119735-113121556	18	0.0503197	113110891	1.298261957	
12081	LOC108350451	chr3	114827884-114846608	139	0.0392985	114838326	1.405624026	
12082	LOC108350453	chr3	116380705-116592273	488	0.183085	116513359	0.737347236	
12083	LOC108350454	chr3	117144736-117200779	213	0.188371	117189895	0.724985957	
12084	LOC108350455	chr3	117285990-117292130	32	0.229704	117297574	0.638831442	
12085	LOC108350457	chr3	117900746-117904491	75	0.0143315	117899824	1.843708352	
12086	LOC108350458	chr3	"120114572-120117936,120114572-120120683,120114572-120120683"	34	0.737309	120128897	0.132350465	
12087	LOC108350459	chr3	120187386-120192590	50	0.650608	120179266	0.186680601	
12088	LOC108350460	chr3	"122029646-122049425,122047306-122049425"	22	0.0356749	122058205	1.447637236	
12089	LOC108350461	chr3	122048413-122051714	23	0.0356749	122058205	1.447637236	
12090	LOC108350462	chr3	122429002-122435691	72	0.0503213	122421632	1.298248148	
12091	LOC108350463	chr3	122541250-122561372	2	0.435546	122552701	0.36096597	
12092	LOC108350468	chr3	125775371-125780165	21	0.0487178	125776932	1.312312332	
12093	LOC108350469	chr3	126150741-126153216	30	0.0427844	126162063	1.368714554	
12094	LOC108350470	chr3	127463833-127469188	16	0.903915	127465330	0.043872407	
12095	LOC108350475	chr3	130434989-130458421	39	0.0315955	130439603	1.500374768	
12096	LOC108350476	chr3	"130517856-130581979,130517857-130543529,130517857-130548077,130517857-130581978,130517965-130536422,130518490-130543529,130518490-130581977,130518494-130548077,130518498-130534252"	69	0.060168	130540321	1.220634424	
12097	LOC108350477	chr3	133191129-133195708	34	0.00299202	133203370	2.524035508	
12098	LOC108350479	chr3	"138148107-138332346,138325373-138332346,138325373-138332346"	282	0.00170375	138150361	2.768594131	
12099	LOC108350481	chr3	138909065-138915767	24	0.0850135	138917636	1.070512104	
12100	LOC108350482	chr3	139720215-139724415	28	0.0207571	139713957	1.682833322	
12101	LOC108350484	chr3	139858725-139865971	85	0.0194919	139872795	1.710145825	
12102	LOC108350486	chr3	140494458-140505459	51	0.0482884	140514858	1.316157184	
12103	LOC108350487	chr3	140759593-140783608	55	0.0795622	140783111	1.099293217	
12104	LOC108350488	chr3	"140793425-140796944,140793425-140853396,140793425-140871934"	183	0.0471223	140878251	1.32677352	
12105	LOC108350489	chr3	"141462938-141464183,141462938-141464222"	33	0.0998689	141465543	1.000569734	
12106	LOC108350490	chr3	141612131-141616019	15	0.266018	141614251	0.575088976	
12107	LOC108350491	chr3	142927924-142928973	73	0.0647715	142932310	1.188616045	
12108	LOC108350495	chr3	145711799-145715781	54	0.0156836	145724902	1.804554243	
12109	LOC108350498	chr3	146515884-146523891	78	0.00269671	146522642	2.569165754	
12110	LOC108350499	chr3	146519203-146546481	120	0.00269671	146522642	2.569165754	
12111	LOC108350502	chr3	148283180-148284141	5	0.168885	148278958	0.772408922	
12112	LOC108350503	chr3	148521228-148530522	26	0.0203727	148515098	1.69095141	
12113	LOC108350504	chr3	150039425-150043948	17	0.553391	150047446	0.256967908	
12114	LOC108350506	chr3	"150890343-150909727,150890343-150909727"	68	0.0293478	150885116	1.532424449	
12115	LOC108350507	chr3	153325195-153327846	59	0.15068	153321711	0.821944388	
12116	LOC108350508	chr3	153543011-153547652	24	0.146543	153555858	0.834034922	
12117	LOC108350509	chr3	154552231-154557520	1	0.719268	154547696	0.143109261	
12118	LOC108350510	chr3	"155605245-155613979,155605245-155616568"	11	0.346629	155621653	0.460135106	
12119	LOC108350511	chr3	156369041-156426940	82	0.225408	156363619	0.647030674	
12120	LOC108350512	chr3	156436303-156440105	23	0.21202	156442192	0.67362317	
12121	LOC108350517	chr3	158629291-158660536	140	0.174946	158652770	0.757095983	
12122	LOC108350518	chr3	158692296-158693265	23	0.488212	158687918	0.31139155	
12123	LOC108350519	chr3	158778108-158783224	3	0.24994	158768270	0.602164235	
12124	LOC108350520	chr3	160585068-160588221	120	0.305752	160580638	0.514630693	
12125	LOC108350521	chr3	161431415-161432913	29	0.124179	161421537	0.905951842	
12126	LOC108350529	chr3	166061675-166068182	1	0.343407	166056549	0.464190856	
12127	LOC108350530	chr3	"166353004-166361201,166353004-166361201"	69	0.00061955	166361809	3.207923639	
12128	LOC108350532	chr3	168639273-168651680	150	0.0195162	168632640	1.70960474	
12129	LOC108350533	chr3	"169614368-169624650,169614368-169624658,169614368-169626636"	111	0.191387	169614374	0.718087565	
12130	LOC108350534	chr3	170473108-170475673	53	0.196777	170463609	0.706025665	
12131	LOC108350535	chr3	171491346-171497073	39	0.38851	171481346	0.410597798	
12132	LOC108350536	chr3	173104296-173106138	21	0.379464	173115860	0.42082942	
12133	LOC108350538	chr3	175815020-175821090	23	0.592135	175824395	0.227579268	
12134	LOC108350540	chr3	176681119-176691384	4	0.856496	176699604	0.067274661	
12135	LOC108350541	chr3	176715980-176720240	38	0.775476	176724519	0.110431639	
12136	LOC108350547	chr3	2360495-2391488	45	0.536246	2350906	0.270635934	
12137	LOC108350550	chr3	11649115-11652091	12	0.373935	11642596	0.427203883	
12138	LOC108350558	chr3	68435922-68437926	39	0.000129198	68442125	3.888744209	
12139	LOC108350560	chr3	76417529-76421164	109	0.00747677	76426004	2.126285979	
12140	LOC108350568	chr3	131329855-131351632	24	0.00816085	131342495	2.088264605	
12141	LOC108350576	chr3	173305688-173318304	4	0.40964	173300581	0.387597643	
12142	LOC108350580	chr3	"45955392-45963979,45959491-45963979"	26	0.154563	45946909	0.810894461	
12143	LOC108350581	chr3	46457243-46510364	125	0.191272	46465604	0.718348601	
12144	LOC108350583	chr3	60229776-60410004	1	0.723204	60360241	0.14073918	
12145	LOC108350586	chr3	104062682-104068579	37	0.116354	104054955	0.934218682	
12146	LOC108350588	chr3	2404851-2405958	16	0.840709	2411834	0.075354303	
12147	LOC108350589	chr3	2588619-2588913	17	0.0959285	2596506	1.018052346	
12148	LOC108350593	chr3	31041927-31049523	4	0.948578	31053271	0.022926952	
12149	LOC108350594	chr3	33608804-33612862	64	0.111258	33599109	0.953668751	
12150	LOC108350604	chr3	93652304-93653154	41	0.512897	93658527	0.289969841	
12151	LOC108350607	chr3	107015343-107019819	24	0.282692	107013232	0.548686482	
12152	LOC108350611	chr3	126951188-126953099	14	0.0452182	126961267	1.34468673	
12153	LOC108350614	chr3	141030580-141031882	25	0.00891966	141029130	2.0496517	
12154	LOC108350618	chr3	"148996987-148999876,148998319-148999876"	29	0.574328	149000267	0.24084001	
12155	LOC108350620	chr3	154126636-154128536	4	0.133314	154135353	0.875124241	
12156	LOC108350621	chr3	159247967-159250454	70	0.0407554	159256639	1.38981484	
12157	LOC108350623	chr3	163137451-163139161	9	0.11587	163132785	0.936028993	
12158	LOC108350624	chr3	163753738-163761437	14	0.0609815	163771389	1.214801897	
12159	LOC108350627	chr3	171412112-171413192	47	0.754003	171417151	0.122626926	
12160	LOC108350628	chr3	172915279-172917920	46	0.147968	172922910	0.829832196	
12161	LOC108350629	chr3	174289066-174291161	17	0.810694	174290489	0.091143041	
12162	LOC108350640	chr4	722227-727145	27	0.340785	716760	0.467519529	
12163	LOC108350641	chr4	1967449-2053229	105	0.00838878	2012255	2.076301195	
12164	LOC108350642	chr4	2808712-2813553	14	0.142757	2823209	0.845402587	
12165	LOC108350645	chr4	6030872-6037019	27	0.00414488	6031597	2.382488038	
12166	LOC108350647	chr4	7449888-7453364	29	0.0117328	7445999	1.930598332	
12167	LOC108350655	chr4	17251383-17272168	131	0.340612	17256225	0.467740056	
12168	LOC108350656	chr4	17323810-17331198	99	0.830254	17320121	0.080789023	
12169	LOC108350657	chr4	18225199-18229385	10	0.486034	18235895	0.313333349	
12170	LOC108350658	chr4	21728450-21744973	92	0.00949323	21734068	2.022585997	
12171	LOC108350659	chr4	21914113-21919906	79	0.129471	21927602	0.887827498	
12172	LOC108350660	chr4	21874417-21878576	40	0.105324	21882237	0.977472656	
12173	LOC108350662	chr4	22700648-22862154	208	0.0497625	22785979	1.303097809	
12174	LOC108350663	chr4	25727044-25735033	86	0.397433	25733110	0.400736075	
12175	LOC108350669	chr4	"29025490-29078685,29025490-29078698"	79	0.708054	29076773	0.149933619	
12176	LOC108350670	chr4	29652913-29657146	54	0.129082	29648030	0.889134314	
12177	LOC108350672	chr4	42999548-43000857	28	0.0203058	42996191	1.692379896	
12178	LOC108350673	chr4	47244855-47331220	234	0.00540478	47277049	2.267221979	
12179	LOC108350675	chr4	50850703-50858354	62	0.643513	50854830	0.191442675	
12180	LOC108350676	chr4	"51604923-51667044,51637813-51667044"	3	0.771405	51676189	0.112717551	
12181	LOC108350679	chr4	52396160-52409336	37	0.441722	52386776	0.35485097	
12182	LOC108350680	chr4	56246947-56249774	66	0.0253281	56249979	1.596397388	
12183	LOC108350681	chr4	"56313127-56322047,56313127-56327888"	111	0.0249161	56324010	1.603519935	
12184	LOC108350684	chr4	57454052-57456074	75	0.131087	57463619	0.882440375	
12185	LOC108350685	chr4	57779215-57781541	20	0.178284	57776054	0.748887631	
12186	LOC108350686	chr4	57904385-57908536	43	0.200346	57898308	0.698219324	
12187	LOC108350687	chr4	59417669-59422130	71	0.104473	59426690	0.980995934	
12188	LOC108350688	chr4	"59448221-59536742,59477588-59536742"	325	0.0332686	59482885	1.477965475	
12189	LOC108350689	chr4	"60377746-60427520,60398304-60427520,60398304-60427520,60416083-60427520"	151	0.03548	60387139	1.450016389	
12190	LOC108350691	chr4	62290374-62293099	55	0.105405	62299100	0.977138787	
12191	LOC108350692	chr4	"63088525-63106433,63088525-63106433"	60	0.0856922	63084697	1.067058707	
12192	LOC108350694	chr4	66335008-66339637	16	3.74E-06	66333963	5.427600107	
12193	LOC108350697	chr4	68578431-68581763	22	0.111694	68571916	0.951970156	
12194	LOC108350698	chr4	"70126138-70252711,70126681-70252711"	247	0.043024	70181825	1.366289215	
12195	LOC108350699	chr4	70932372-70940358	46	0.287657	70923979	0.541125053	
12196	LOC108350700	chr4	72897685-72912046	87	0.123974	72920709	0.906669386	
12197	LOC108350702	chr4	77413802-77452236	4	0.359642	77459515	0.444129596	
12198	LOC108350703	chr4	77872240-78024650	214	0.359578	78017024	0.444206887	
12199	LOC108350704	chr4	78462344-78471792	78	0.308129	78467931	0.511267426	
12200	LOC108350705	chr4	78555691-78557689	27	0.004153	78560190	2.381638069	
12201	LOC108350706	chr4	80366982-80368659	39	0.295855	80371202	0.528921087	
12202	LOC108350707	chr4	80474168-80475203	67	0.293879	80478475	0.531831447	
12203	LOC108350709	chr4	82481640-82486600	43	0.000923969	82479818	3.0343426	
12204	LOC108350710	chr4	82528314-82542934	39	0.00376103	82520192	2.424693202	
12205	LOC108350711	chr4	83107785-83122845	32	0.00324288	83108116	2.489069122	
12206	LOC108350712	chr4	82894106-82898497	33	0.000263759	82892476	3.578792712	
12207	LOC108350713	chr4	84074122-84087348	29	0.00961388	84069857	2.017101303	
12208	LOC108350714	chr4	84302015-84314671	91	0.0246682	84306525	1.607862539	
12209	LOC108350715	chr4	98514126-98518772	134	0.0469114	98505839	1.328721606	
12210	LOC108350716	chr4	99169422-99186027	50	0.100749	99170788	0.996759256	
12211	LOC108350717	chr4	99215430-99217458	34	0.103851	99218066	0.983589317	
12212	LOC108350721	chr4	115404313-115408911	10	0.00426128	115405163	2.370459928	
12213	LOC108350725	chr4	"118125177-118130525,118125177-118130525"	25	0.000239738	118115429	3.620263122	
12214	LOC108350726	chr4	118988427-118991398	20	0.00090462	118979271	3.043533815	
12215	LOC108350727	chr4	"119865783-119875832,119865783-119877033"	25	0.176147	119874286	0.754124749	
12216	LOC108350728	chr4	120163046-120164389	1	0.536758	120157702	0.270221474	
12217	LOC108350730	chr4	123272131-123294291	1	0.218049	123289779	0.661445901	
12218	LOC108350731	chr4	126806909-126876502	126	0.655326	126864660	0.183542601	
12219	LOC108350732	chr4	"126884410-126899044,126884410-126899044"	47	0.749724	126887881	0.125098586	
12220	LOC108350733	chr4	126901622-126927870	56	0.778266	126897491	0.108871942	
12221	LOC108350734	chr4	126953161-126981104	84	0.630193	126968534	0.200526425	
12222	LOC108350735	chr4	129863375-129880065	114	0.159115	129867641	0.798288877	
12223	LOC108350737	chr4	132615973-132624020	36	0.278882	132632563	0.554579516	
12224	LOC108350738	chr4	132608923-132610834	43	0.33902	132611811	0.46977468	
12225	LOC108350739	chr4	133415249-133420934	45	0.109055	133405810	0.962354418	
12226	LOC108350740	chr4	134178845-134183878	14	0.66692	134188599	0.175926259	
12227	LOC108350741	chr4	139683244-139690535	77	0.360817	139674565	0.442713009	
12228	LOC108350742	chr4	140656377-140666835	32	0.0173793	140665560	1.75996772	
12229	LOC108350743	chr4	141997424-142006546	78	0.0595019	141995807	1.225469166	
12230	LOC108350744	chr4	145091321-145113115	17	0.277943	145084914	0.556044259	
12231	LOC108350745	chr4	146071279-146086117	117	0.295959	146071059	0.528768449	
12232	LOC108350746	chr4	146181233-146202910	27	0.508809	146208420	0.293445215	
12233	LOC108350747	chr4	146558383-146560078	17	0.485118	146551901	0.314152611	
12234	LOC108350748	chr4	147383623-147390408	31	0.43049	147382086	0.366036932	
12235	LOC108350751	chr4	148958590-148960322	55	0.0445303	148967430	1.351344379	
12236	LOC108350756	chr4	"154736563-154746548,154738625-154746548"	214	0.458759	154752685	0.338415403	
12237	LOC108350759	chr4	156963217-156966075	47	0.0652222	156962365	1.185604556	
12238	LOC108350760	chr4	157128182-157130434	152	0.175052	157121600	0.756832923	
12239	LOC108350761	chr4	159729615-159742579	26	0.585334	159736573	0.232596249	
12240	LOC108350762	chr4	160505931-160518204	78	0.0921997	160520144	1.035270492	
12241	LOC108350763	chr4	"160932990-160945590,160932990-160946131"	8	0.173446	160926237	0.760835711	
12242	LOC108350766	chr4	"161350919-161360467,161353080-161360467,161353080-161360467,161353080-161360467"	1	0.183431	161366545	0.736527266	
12243	LOC108350769	chr4	161695652-161723108	20	0.129189	161707880	0.888774463	
12244	LOC108350770	chr4	162037329-162039751	39	0.446065	162032107	0.350601852	
12245	LOC108350771	chr4	162518416-162519381	17	0.62466	162508768	0.204356303	
12246	LOC108350772	chr4	"162991016-163020853,162993230-163020853,162993230-163020853,162993230-163020853"	118	0.257153	162988797	0.589808405	
12247	LOC108350773	chr4	162978189-162979667	183	0.257153	162988797	0.589808405	
12248	LOC108350777	chr4	167311545-167317870	6	0.866727	167316403	0.062117674	
12249	LOC108350778	chr4	167620782-167625566	35	0.187414	167617308	0.72719797	
12250	LOC108350779	chr4	167630790-167631720	29	0.256756	167623190	0.590479399	
12251	LOC108350780	chr4	168192069-168194824	27	0.575346	168201468	0.240070902	
12252	LOC108350781	chr4	168629945-168643124	25	0.0700156	168641686	1.154805185	
12253	LOC108350782	chr4	173735619-173740865	73	0.522977	173745049	0.281517411	
12254	LOC108350783	chr4	"174433537-174447836,174443319-174447836"	112	0.0315912	174436909	1.500433877	
12255	LOC108350784	chr4	174447957-174450054	67	0.0531498	174457670	1.274498365	
12256	LOC108350785	chr4	179209923-179211952	72	0.277498	179200232	0.556740143	
12257	LOC108350786	chr4	179557786-179559557	70	0.391945	179553693	0.406774871	
12258	LOC108350787	chr4	179759656-179793809	82	0.760856	179763134	0.11869753	
12259	LOC108350788	chr4	179730650-179748715	120	0.305396	179728011	0.515136656	
12260	LOC108350789	chr4	179886096-179887744	11	0.758716	179894206	0.119920757	
12261	LOC108350790	chr4	"179958096-179962205,179958096-179962746"	3	0.8923	179950327	0.049489107	
12262	LOC108350791	chr4	"180015721-180034483,180015721-180034483"	2	0.876113	180009985	0.057439875	
12263	LOC108350795	chr4	182407245-182419740	87	0.162612	182428516	0.788847409	
12264	LOC108350796	chr4	182563666-182566499	16	0.181492	182567237	0.741142514	
12265	LOC108350799	chr4	183846854-183862972	19	0.634778	183841465	0.197378133	
12266	LOC108350810	chr4	85527367-85549162	81	0.0227168	85544216	1.643652846	
12267	LOC108350811	chr4	89872729-89876205	11	0.193141	89868784	0.714125524	
12268	LOC108350812	chr4	91229134-91244135	122	0.0763753	91241268	1.117047071	
12269	LOC108350818	chr4	115379133-115386903	15	0.00398704	115371442	2.399349407	
12270	LOC108350819	chr4	122505377-122627742	36	0.118756	122596845	0.925344439	
12271	LOC108350822	chr4	135374527-135384688	83	0.398908	135388679	0.399127254	
12272	LOC108350831	chr4	11880762-11883346	1	0.268706	11872610	0.570722636	
12273	LOC108350832	chr4	11196267-11202547	13	0.00221695	11194497	2.654244102	
12274	LOC108350833	chr4	58354473-58373379	146	0.213864	58376517	0.669862315	
12275	LOC108350834	chr4	58669760-58674115	30	0.319454	58668622	0.49559167	
12276	LOC108350835	chr4	58693487-58696567	60	0.320287	58683538	0.494460688	
12277	LOC108350836	chr4	61348734-61354819	42	0.327214	61351753	0.485168123	
12278	LOC108350837	chr4	60913229-60916633	41	0.304434	60923295	0.516506846	
12279	LOC108350838	chr4	76874319-76878285	38	0.380454	76875458	0.419697845	
12280	LOC108350839	chr4	92431516-92432354	28	0.0928103	92424979	1.032403824	
12281	LOC108350840	chr4	91959689-92027301	234	0.0719326	91970652	1.143074242	
12282	LOC108350841	chr4	108471611-108495151	88	0.243291	108489233	0.613873957	
12283	LOC108350842	chr4	"111258783-111413055,111258783-111413055,111282258-111413055,111282258-111413055"	235	0.0903455	111410281	1.044093474	
12284	LOC108350843	chr4	"111213642-111240183,111226148-111243451"	1	0.672167	111233223	0.172522813	
12285	LOC108350844	chr4	143266214-143272319	175	0.253518	143262490	0.5959912	
