description	name	p_value	precision	recall	query_size	effective_domain_size	intersection_size	native	source	term_size	intersections	community
"""The series of events in which a chemical stimulus is received by a cell and converted into a molecular signal."" [GOC:jl]"	detection of chemical stimulus	9.814503562498119e-09	0.5714285714285714	0.01652892561983471	14	18123	8	GO:0009593	GO:BP	484	['OR2A4', 'OR8S1', 'GPR148', 'OR5A2', 'OR2A7', 'OR6Y1', 'OR2W3', 'OR4X1']	C887
"""The series of events required for an organism to receive a sensory chemical stimulus, convert it to a molecular signal, and recognize and characterize the signal. This is a neurological process."" [GOC:ai]"	sensory perception of chemical stimulus	1.0086469660930844e-08	0.5714285714285714	0.01609657947686117	14	18123	8	GO:0007606	GO:BP	497	['OR2A4', 'OR8S1', 'GPR148', 'OR5A2', 'OR2A7', 'OR6Y1', 'OR2W3', 'OR4X1']	C887
"""The series of events involved in sensory perception in which a sensory stimulus is received and converted into a molecular signal."" [GOC:ai, GOC:dos, GOC:dph]"	detection of stimulus involved in sensory perception	1.1278174838285487e-08	0.5714285714285714	0.01556420233463035	14	18123	8	GO:0050906	GO:BP	514	['OR2A4', 'OR8S1', 'GPR148', 'OR5A2', 'OR2A7', 'OR6Y1', 'OR2W3', 'OR4X1']	C887
"""The series of events in which a stimulus is received by a cell or organism and converted into a molecular signal."" [GOC:add, GOC:ai, GOC:dph, GOC:mah]"	detection of stimulus	9.893520465784258e-08	0.5714285714285714	0.011611030478955007	14	18123	8	GO:0051606	GO:BP	689	['OR2A4', 'OR8S1', 'GPR148', 'OR5A2', 'OR2A7', 'OR6Y1', 'OR2W3', 'OR4X1']	C887
"""The series of events required for an organism to receive a sensory stimulus, convert it to a molecular signal, and recognize and characterize the signal. This is a neurological process."" [GOC:ai, GOC:dph]"	sensory perception	1.1445115956350528e-06	0.5714285714285714	0.008350730688935281	14	18123	8	GO:0007600	GO:BP	958	['OR2A4', 'OR8S1', 'GPR148', 'OR5A2', 'OR2A7', 'OR6Y1', 'OR2W3', 'OR4X1']	C887
"""The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."" [GOC:go_curators, GOC:mtg_signaling_feb11]"	signal transduction	3.9657350159273804e-06	1.0	0.002171552660152009	14	18123	14	GO:0007165	GO:BP	6447	['GPR139', 'GPR61', 'OR2A4', 'GPR152', 'GPR141', 'OR8S1', 'GPR148', 'GPR151', 'OR5A2', 'OR2A7', 'OR6Y1', 'OR2W3', 'MRGPRD', 'OR4X1']	C887
"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]"	signaling	9.682582186006989e-06	1.0	0.0020181634712411706	14	18123	14	GO:0023052	GO:BP	6937	['GPR139', 'GPR61', 'OR2A4', 'GPR152', 'GPR141', 'OR8S1', 'GPR148', 'GPR151', 'OR5A2', 'OR2A7', 'OR6Y1', 'OR2W3', 'MRGPRD', 'OR4X1']	C887
"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]"	cell communication	9.682582186006989e-06	1.0	0.002011205286596753	14	18123	14	GO:0007154	GO:BP	6961	['GPR139', 'GPR61', 'OR2A4', 'GPR152', 'GPR141', 'OR8S1', 'GPR148', 'GPR151', 'OR5A2', 'OR2A7', 'OR6Y1', 'OR2W3', 'MRGPRD', 'OR4X1']	C887
"""A organ system process carried out by any of the organs or tissues of neurological system."" [GOC:ai, GOC:mtg_cardio]"	nervous system process	2.054629831733576e-05	0.5714285714285714	0.005457025920873124	14	18123	8	GO:0050877	GO:BP	1466	['OR2A4', 'OR8S1', 'GPR148', 'OR5A2', 'OR2A7', 'OR6Y1', 'OR2W3', 'OR4X1']	C887
"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]"	cellular response to stimulus	4.658686894980268e-05	1.0	0.0017782293915915154	14	18123	14	GO:0051716	GO:BP	7873	['GPR139', 'GPR61', 'OR2A4', 'GPR152', 'GPR141', 'OR8S1', 'GPR148', 'GPR151', 'OR5A2', 'OR2A7', 'OR6Y1', 'OR2W3', 'MRGPRD', 'OR4X1']	C887
"""A multicellular organismal process carried out by any of the organs or tissues in an organ system. An organ system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a biological objective."" [GOC:mtg_cardio]"	system process	0.0005127837406595336	0.5714285714285714	0.003469210754553339	14	18123	8	GO:0003008	GO:BP	2306	['OR2A4', 'OR8S1', 'GPR148', 'OR5A2', 'OR2A7', 'OR6Y1', 'OR2W3', 'OR4X1']	C887
"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]"	response to stimulus	0.0005558627383617606	1.0	0.0014757035943923262	14	18123	14	GO:0050896	GO:BP	9487	['GPR139', 'GPR61', 'OR2A4', 'GPR152', 'GPR141', 'OR8S1', 'GPR148', 'GPR151', 'OR5A2', 'OR2A7', 'OR6Y1', 'OR2W3', 'MRGPRD', 'OR4X1']	C887
"""Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators]"	regulation of cellular process	0.007912615334012392	1.0	0.0012155943388035078	14	18123	14	GO:0050794	GO:BP	11517	['GPR139', 'GPR61', 'OR2A4', 'GPR152', 'GPR141', 'OR8S1', 'GPR148', 'GPR151', 'OR5A2', 'OR2A7', 'OR6Y1', 'OR2W3', 'MRGPRD', 'OR4X1']	C887
"""Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:ai, GOC:go_curators]"	regulation of biological process	0.015309346211401797	1.0	0.0011549249298795578	14	18123	14	GO:0050789	GO:BP	12122	['GPR139', 'GPR61', 'OR2A4', 'GPR152', 'GPR141', 'OR8S1', 'GPR148', 'GPR151', 'OR5A2', 'OR2A7', 'OR6Y1', 'OR2W3', 'MRGPRD', 'OR4X1']	C887
"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]"	biological regulation	0.031152897947241118	1.0	0.0010935791282612093	14	18123	14	GO:0065007	GO:BP	12802	['GPR139', 'GPR61', 'OR2A4', 'GPR152', 'GPR141', 'OR8S1', 'GPR148', 'GPR151', 'OR5A2', 'OR2A7', 'OR6Y1', 'OR2W3', 'MRGPRD', 'OR4X1']	C887
"""The membrane organization process that joins two lipid bilayers to form a single membrane."" [GOC:dph, GOC:tb]"	membrane fusion	1.437103212375387e-14	0.625	0.055865921787709494	16	18123	10	GO:0061025	GO:BP	179	['VPS18', 'VPS39', 'TSNARE1', 'STX16-NPEPL1', 'TGFBRAP1', 'VPS11', 'STX7', 'VPS33B', 'VPS8', 'VPS4A']	C888
"""The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	protein transport	1.437103212375387e-14	1.0	0.009122006841505131	16	18123	16	GO:0015031	GO:BP	1754	['SCFD2', 'MON1A', 'VPS18', 'MON1B', 'VPS39', 'TSNARE1', 'STX16-NPEPL1', 'STXBP5', 'TGFBRAP1', 'RBSN', 'VPS11', 'STX7', 'VPS33B', 'VPS33A', 'VPS8', 'VPS4A']	C888
"""The directed movement of a protein to a specific location."" [GOC:bf]"	establishment of protein localization	2.590020120361977e-14	1.0	0.00857449088960343	16	18123	16	GO:0045184	GO:BP	1866	['SCFD2', 'MON1A', 'VPS18', 'MON1B', 'VPS39', 'TSNARE1', 'STX16-NPEPL1', 'STXBP5', 'TGFBRAP1', 'RBSN', 'VPS11', 'STX7', 'VPS33B', 'VPS33A', 'VPS8', 'VPS4A']	C888
"""A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane."" [GOC:ai, GOC:mah, ISBN:08789310662000]"	vesicle-mediated transport	2.0475607269791888e-13	1.0	0.00729594163246694	16	18123	16	GO:0016192	GO:BP	2193	['SCFD2', 'MON1A', 'VPS18', 'MON1B', 'VPS39', 'TSNARE1', 'STX16-NPEPL1', 'STXBP5', 'TGFBRAP1', 'RBSN', 'VPS11', 'STX7', 'VPS33B', 'VPS33A', 'VPS8', 'VPS4A']	C888
"""The directed movement of substances into, out of or within a vacuole."" [GOC:ai]"	vacuolar transport	2.0475607269791888e-13	0.5625	0.05844155844155844	16	18123	9	GO:0007034	GO:BP	154	['MON1A', 'VPS18', 'MON1B', 'VPS39', 'TGFBRAP1', 'RBSN', 'VPS11', 'VPS33A', 'VPS4A']	C888
"""The directed movement of nitrogen-containing compounds into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:mah]"	nitrogen compound transport	2.0475607269791888e-13	1.0	0.007220216606498195	16	18123	16	GO:0071705	GO:BP	2216	['SCFD2', 'MON1A', 'VPS18', 'MON1B', 'VPS39', 'TSNARE1', 'STX16-NPEPL1', 'STXBP5', 'TGFBRAP1', 'RBSN', 'VPS11', 'STX7', 'VPS33B', 'VPS33A', 'VPS8', 'VPS4A']	C888
"""Fusion of the membrane of a transport vesicle with its target membrane."" [GOC:jid]"	vesicle fusion	1.1826115966515305e-12	0.5	0.07272727272727272	16	18123	8	GO:0006906	GO:BP	110	['VPS18', 'VPS39', 'TSNARE1', 'TGFBRAP1', 'VPS11', 'STX7', 'VPS8', 'VPS4A']	C888
"""The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."" [GOC:mah]"	intracellular protein transport	1.1826115966515305e-12	0.8125	0.01306532663316583	16	18123	13	GO:0006886	GO:BP	995	['SCFD2', 'MON1A', 'VPS18', 'MON1B', 'VPS39', 'TSNARE1', 'STX16-NPEPL1', 'TGFBRAP1', 'VPS11', 'STX7', 'VPS33B', 'VPS33A', 'VPS4A']	C888
"""The joining of two lipid bilayers to form a single organelle membrane."" [GOC:ascb_2009, GOC:dph, GOC:tb]"	organelle membrane fusion	1.3516045794664975e-12	0.5	0.07017543859649122	16	18123	8	GO:0090174	GO:BP	114	['VPS18', 'VPS39', 'TSNARE1', 'TGFBRAP1', 'VPS11', 'STX7', 'VPS8', 'VPS4A']	C888
"""The homotypic fusion of endocytic vesicles to form or add to an early endosome."" [PMID:11964142, PMID:9422733]"	endosomal vesicle fusion	1.740580642697553e-12	0.3125	0.5555555555555556	16	18123	5	GO:0034058	GO:BP	9	['VPS39', 'TGFBRAP1', 'VPS11', 'VPS8', 'VPS4A']	C888
"""The directed movement of organic substances into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or pore. An organic substance is a molecular entity that contains carbon."" [GOC:mah]"	organic substance transport	2.0383883244816603e-12	1.0	0.0060218291305984195	16	18123	16	GO:0071702	GO:BP	2657	['SCFD2', 'MON1A', 'VPS18', 'MON1B', 'VPS39', 'TSNARE1', 'STX16-NPEPL1', 'STXBP5', 'TGFBRAP1', 'RBSN', 'VPS11', 'STX7', 'VPS33B', 'VPS33A', 'VPS8', 'VPS4A']	C888
"""Any process in which a protein is transported to, or maintained in, a specific location."" [GOC:ai]"	protein localization	2.0383883244816603e-12	1.0	0.00599250936329588	16	18123	16	GO:0008104	GO:BP	2670	['SCFD2', 'MON1A', 'VPS18', 'MON1B', 'VPS39', 'TSNARE1', 'STX16-NPEPL1', 'STXBP5', 'TGFBRAP1', 'RBSN', 'VPS11', 'STX7', 'VPS33B', 'VPS33A', 'VPS8', 'VPS4A']	C888
"""The initial attachment of a transport vesicle membrane to the target membrane, mediated by proteins protruding from the membrane of the vesicle and the target membrane. Docking requires only that the two membranes come close enough for these proteins to interact and adhere."" [GOC:ai, GOC:jid]"	vesicle docking	2.162332165338217e-12	0.4375	0.109375	16	18123	7	GO:0048278	GO:BP	64	['SCFD2', 'VPS18', 'TSNARE1', 'VPS11', 'STX7', 'VPS33B', 'VPS33A']	C888
"""The creation of a single organelle from two or more organelles."" [GOC:jid]"	organelle fusion	7.749702518017104e-12	0.5	0.053691275167785234	16	18123	8	GO:0048284	GO:BP	149	['VPS18', 'VPS39', 'TSNARE1', 'TGFBRAP1', 'VPS11', 'STX7', 'VPS8', 'VPS4A']	C888
"""The directed movement of substances within a cell."" [GOC:ai]"	intracellular transport	1.612962430840261e-11	0.875	0.00812536273940801	16	18123	14	GO:0046907	GO:BP	1723	['SCFD2', 'MON1A', 'VPS18', 'MON1B', 'VPS39', 'TSNARE1', 'STX16-NPEPL1', 'TGFBRAP1', 'RBSN', 'VPS11', 'STX7', 'VPS33B', 'VPS33A', 'VPS4A']	C888
"""Any process in which a macromolecule is transported to, or maintained in, a specific location."" [GOC:mah]"	macromolecule localization	2.1463375140997287e-11	1.0	0.005082592121982211	16	18123	16	GO:0033036	GO:BP	3148	['SCFD2', 'MON1A', 'VPS18', 'MON1B', 'VPS39', 'TSNARE1', 'STX16-NPEPL1', 'STXBP5', 'TGFBRAP1', 'RBSN', 'VPS11', 'STX7', 'VPS33B', 'VPS33A', 'VPS8', 'VPS4A']	C888
"""The directed movement of substances into, out of or within a lysosome."" [GOC:ai]"	lysosomal transport	8.364882958138935e-11	0.4375	0.06306306306306306	16	18123	7	GO:0007041	GO:BP	111	['VPS18', 'VPS39', 'TGFBRAP1', 'RBSN', 'VPS11', 'VPS33A', 'VPS4A']	C888
"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a vesicle."" [GOC:mah]"	vesicle organization	8.364882958138935e-11	0.5625	0.02631578947368421	16	18123	9	GO:0016050	GO:BP	342	['VPS18', 'VPS39', 'TSNARE1', 'TGFBRAP1', 'VPS11', 'STX7', 'VPS33B', 'VPS8', 'VPS4A']	C888
"""Any process, occuring in a cell, that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos, GOC:dph, GOC:tb]"	establishment of localization in cell	2.1856371934812907e-10	0.9375	0.005399568034557235	16	18123	15	GO:0051649	GO:BP	2778	['SCFD2', 'MON1A', 'VPS18', 'MON1B', 'VPS39', 'TSNARE1', 'STX16-NPEPL1', 'STXBP5', 'TGFBRAP1', 'RBSN', 'VPS11', 'STX7', 'VPS33B', 'VPS33A', 'VPS4A']	C888
"""The cellular processes that contribute to exocytosis."" [Wikipedia:Exocytosis]"	exocytic process	1.1282828245370496e-09	0.375	0.0759493670886076	16	18123	6	GO:0140029	GO:BP	79	['SCFD2', 'VPS18', 'STXBP5', 'VPS11', 'VPS33B', 'VPS33A']	C888
"""Any process in which a protein is transported to, and/or maintained in, a specific location at the level of a cell. Localization at the cellular level encompasses movement within the cell, from within the cell to the cell surface, or from one location to another at the surface of a cell."" [GOC:mah]"	cellular protein localization	1.217855326653515e-09	0.8125	0.007057546145494028	16	18123	13	GO:0034613	GO:BP	1842	['SCFD2', 'MON1A', 'VPS18', 'MON1B', 'VPS39', 'TSNARE1', 'STX16-NPEPL1', 'TGFBRAP1', 'VPS11', 'STX7', 'VPS33B', 'VPS33A', 'VPS4A']	C888
"""Any process in which a macromolecule is transported to, and/or maintained in, a specific location at the level of a cell. Localization at the cellular level encompasses movement within the cell, from within the cell to the cell surface, or from one location to another at the surface of a cell."" [GOC:mah]"	cellular macromolecule localization	1.2801146716592953e-09	0.8125	0.007004310344827586	16	18123	13	GO:0070727	GO:BP	1856	['SCFD2', 'MON1A', 'VPS18', 'MON1B', 'VPS39', 'TSNARE1', 'STX16-NPEPL1', 'TGFBRAP1', 'VPS11', 'STX7', 'VPS33B', 'VPS33A', 'VPS4A']	C888
"""The process by which an organelle membrane interacts with another membrane via molecular tethers that physically bridge the two membranes and attach them to each other."" [PMID:27875684]"	organelle localization by membrane tethering	1.589865222867157e-09	0.4375	0.040229885057471264	16	18123	7	GO:0140056	GO:BP	174	['SCFD2', 'VPS18', 'TSNARE1', 'VPS11', 'STX7', 'VPS33B', 'VPS33A']	C888
"""The initial attachment of a membrane or protein to a target membrane. Docking requires only that the proteins come close enough to interact and adhere."" [GOC:isa_complete, PMID:27875684]"	membrane docking	2.1733024643537383e-09	0.4375	0.03825136612021858	16	18123	7	GO:0022406	GO:BP	183	['SCFD2', 'VPS18', 'TSNARE1', 'VPS11', 'STX7', 'VPS33B', 'VPS33A']	C888
"""The initial attachment of a vesicle membrane to a target membrane, mediated by proteins protruding from the membrane of the vesicle and the target membrane, that contributes to exocytosis."" [GOC:aruk, GOC:bc, GOC:jid, PMID:22438915]"	vesicle docking involved in exocytosis	5.228184133450172e-09	0.3125	0.11627906976744186	16	18123	5	GO:0006904	GO:BP	43	['SCFD2', 'VPS18', 'VPS11', 'VPS33B', 'VPS33A']	C888
"""A cellular localization process whereby a substance or cellular entity, such as a protein complex or organelle, is transported to, and/or maintained in, a specific location within a cell including the localization of substances or cellular entities to the cell membrane."" [GOC:tb, GOC:vw]"	cellular localization	5.336298846441925e-09	0.9375	0.004262574595055414	16	18123	15	GO:0051641	GO:BP	3519	['SCFD2', 'MON1A', 'VPS18', 'MON1B', 'VPS39', 'TSNARE1', 'STX16-NPEPL1', 'STXBP5', 'TGFBRAP1', 'RBSN', 'VPS11', 'STX7', 'VPS33B', 'VPS33A', 'VPS4A']	C888
"""The directed movement of substances from endosomes to lysosomes."" [GOC:ai, ISBN:0716731363]"	endosome to lysosome transport	1.4358712099442906e-08	0.3125	0.09433962264150944	16	18123	5	GO:0008333	GO:BP	53	['VPS18', 'VPS39', 'TGFBRAP1', 'VPS11', 'VPS33A']	C888
"""A process which results in the assembly, arrangement of constituent parts, or disassembly of a membrane. A membrane is a double layer of lipid molecules that encloses all cells, and, in eukaryotes, many organelles; may be a single or double lipid bilayer; also includes associated proteins."" [GOC:dph, GOC:tb]"	membrane organization	3.181021385826046e-08	0.625	0.00984251968503937	16	18123	10	GO:0061024	GO:BP	1016	['VPS18', 'VPS39', 'TSNARE1', 'STX16-NPEPL1', 'TGFBRAP1', 'VPS11', 'STX7', 'VPS33B', 'VPS8', 'VPS4A']	C888
"""The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter, pore or motor protein."" [GOC:dos, GOC:dph, GOC:jl, GOC:mah]"	transport	3.856363494508683e-08	1.0	0.0030686612965093976	16	18123	16	GO:0006810	GO:BP	5214	['SCFD2', 'MON1A', 'VPS18', 'MON1B', 'VPS39', 'TSNARE1', 'STX16-NPEPL1', 'STXBP5', 'TGFBRAP1', 'RBSN', 'VPS11', 'STX7', 'VPS33B', 'VPS33A', 'VPS8', 'VPS4A']	C888
"""Any process that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos]"	establishment of localization	5.872440713692911e-08	1.0	0.002982848620432513	16	18123	16	GO:0051234	GO:BP	5364	['SCFD2', 'MON1A', 'VPS18', 'MON1B', 'VPS39', 'TSNARE1', 'STX16-NPEPL1', 'STXBP5', 'TGFBRAP1', 'RBSN', 'VPS11', 'STX7', 'VPS33B', 'VPS33A', 'VPS8', 'VPS4A']	C888
"""Any process in which an organelle is transported to, and/or maintained in, a specific location."" [GOC:ai]"	organelle localization	4.735246572051295e-07	0.5	0.0121765601217656	16	18123	8	GO:0051640	GO:BP	657	['SCFD2', 'VPS18', 'TSNARE1', 'VPS11', 'STX7', 'VPS33B', 'VPS33A', 'VPS4A']	C888
"""Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."" [GOC:ai, GOC:dos]"	localization	3.395676360375864e-06	1.0	0.0023061400980109543	16	18123	16	GO:0051179	GO:BP	6938	['SCFD2', 'MON1A', 'VPS18', 'MON1B', 'VPS39', 'TSNARE1', 'STX16-NPEPL1', 'STXBP5', 'TGFBRAP1', 'RBSN', 'VPS11', 'STX7', 'VPS33B', 'VPS33A', 'VPS8', 'VPS4A']	C888
"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of endosomes."" [GOC:dph, GOC:jl, GOC:mah]"	endosome organization	1.011553016146928e-05	0.25	0.04938271604938271	16	18123	4	GO:0007032	GO:BP	81	['VPS18', 'VPS11', 'VPS33B', 'VPS4A']	C888
"""The process of directing proteins towards the vacuole, usually using signals contained within the protein."" [GOC:curators]"	protein targeting to vacuole	7.680230214657186e-05	0.1875	0.07692307692307693	16	18123	3	GO:0006623	GO:BP	39	['MON1A', 'MON1B', 'VPS4A']	C888
"""The cellular catabolic process in which cells digest parts of their own cytoplasm; allows for both recycling of macromolecular constituents under conditions of cellular stress and remodeling the intracellular structure for cell differentiation."" [GOC:autophagy, ISBN:0198547684, PMID:11099404, PMID:9412464]"	autophagy	7.780745859636184e-05	0.375	0.010638297872340425	16	18123	6	GO:0006914	GO:BP	564	['VPS18', 'VPS39', 'TGFBRAP1', 'VPS11', 'VPS33A', 'VPS4A']	C888
"""A cellular process involving delivery of a portion of the cytoplasm to lysosomes or to the plant or fungal vacuole that does not involve direct transport through the endocytic or vacuolar protein sorting (Vps) pathways. This process typically leads to degradation of the cargo; however, it can also be used to deliver resident proteins, such as in the cytoplasm-to-vacuole targeting (Cvt) pathway."" [PMID:21997368, PMID:22966490, PMID:28596378]"	process utilizing autophagic mechanism	7.780745859636184e-05	0.375	0.010638297872340425	16	18123	6	GO:0061919	GO:BP	564	['VPS18', 'VPS39', 'TGFBRAP1', 'VPS11', 'VPS33A', 'VPS4A']	C888
"""A process of secretion by a cell that results in the release of intracellular molecules (e.g. hormones, matrix proteins) contained within a membrane-bounded vesicle. Exocytosis can occur either by full fusion, when the vesicle collapses into the plasma membrane, or by a kiss-and-run mechanism that involves the formation of a transient contact, a pore, between a granule (for exemple of chromaffin cells) and the plasma membrane. The latter process most of the time leads to only partial secretion of the granule content. Exocytosis begins with steps that prepare vesicles for fusion with the membrane (tethering and docking) and ends when molecules are secreted from the cell."" [GOC:mah, ISBN:0716731363, PMID:22323285]"	exocytosis	8.176079401656703e-05	0.4375	0.00772626931567329	16	18123	7	GO:0006887	GO:BP	906	['SCFD2', 'VPS18', 'STXBP5', 'VPS11', 'VPS33B', 'VPS33A', 'VPS4A']	C888
"""The controlled release of a substance by a cell."" [GOC:mah]"	secretion by cell	9.492464185145808e-05	0.5	0.005921539600296077	16	18123	8	GO:0032940	GO:BP	1351	['SCFD2', 'MON1A', 'VPS18', 'STXBP5', 'VPS11', 'VPS33B', 'VPS33A', 'VPS4A']	C888
"""The directed movement of some substance from a cell, into the extracellular region. This may occur via transport across the plasma membrane or via exocytosis."" [GOC:pg]"	export from cell	0.00012916122711470305	0.5	0.005661712668082095	16	18123	8	GO:0140352	GO:BP	1413	['SCFD2', 'MON1A', 'VPS18', 'STXBP5', 'VPS11', 'VPS33B', 'VPS33A', 'VPS4A']	C888
"""The directed movement of a protein to a specific location in a vacuole."" [GOC:mah]"	establishment of protein localization to vacuole	0.00014779970970722842	0.1875	0.058823529411764705	16	18123	3	GO:0072666	GO:BP	51	['MON1A', 'MON1B', 'VPS4A']	C888
"""The controlled release of a substance by a cell or a tissue."" [GOC:ai]"	secretion	0.0001838624623892809	0.5	0.005361930294906166	16	18123	8	GO:0046903	GO:BP	1492	['SCFD2', 'MON1A', 'VPS18', 'STXBP5', 'VPS11', 'VPS33B', 'VPS33A', 'VPS4A']	C888
"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a vacuole."" [GOC:mah]"	vacuole organization	0.0002090243092585344	0.25	0.021739130434782608	16	18123	4	GO:0007033	GO:BP	184	['VPS18', 'VPS11', 'VPS33A', 'VPS4A']	C888
"""A process in which a protein is transported to, or maintained at, a location in a vacuole."" [GOC:ecd]"	protein localization to vacuole	0.00035771871315352135	0.1875	0.04285714285714286	16	18123	3	GO:0072665	GO:BP	70	['MON1A', 'MON1B', 'VPS4A']	C888
"""Any process that modulates the frequency, rate or extent of assembly of the SNARE complex. The SNARE complex is a protein complex involved in membrane fusion; a stable ternary complex consisting of a four-helix bundle, usually formed from one R-SNARE and three Q-SNAREs with an ionic layer sandwiched between hydrophobic layers."" [GOC:rb]"	regulation of SNARE complex assembly	0.00038405618109234037	0.125	0.2	16	18123	2	GO:0035542	GO:BP	10	['VPS18', 'VPS11']	C888
"""Any process that stops, prevents, or reduces the frequency, rate or extent of the activity of an intracellular estrogen receptor signaling pathway."" [GOC:mah]"	negative regulation of intracellular estrogen receptor signaling pathway	0.0008739634034791831	0.125	0.13333333333333333	16	18123	2	GO:0033147	GO:BP	15	['VPS18', 'VPS11']	C888
"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the endomembrane system."" [GOC:mah, GOC:sm]"	endomembrane system organization	0.0011294307347689827	0.3125	0.008741258741258742	16	18123	5	GO:0010256	GO:BP	572	['VPS18', 'RBSN', 'VPS11', 'VPS33B', 'VPS4A']	C888
"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:mah]"	organelle organization	0.0012938033584110466	0.6875	0.0026595744680851063	16	18123	11	GO:0006996	GO:BP	4136	['VPS18', 'VPS39', 'TSNARE1', 'TGFBRAP1', 'RBSN', 'VPS11', 'STX7', 'VPS33B', 'VPS33A', 'VPS8', 'VPS4A']	C888
"""The aggregation, arrangement and bonding together of a set of components to form a SNARE complex, a protein complex involved in membrane fusion; a stable ternary complex consisting of a four-helix bundle, usually formed from one R-SNARE and three Q-SNAREs with an ionic layer sandwiched between hydrophobic layers."" [GOC:rb, PMID:10872468]"	SNARE complex assembly	0.0013316088125562692	0.125	0.10526315789473684	16	18123	2	GO:0035493	GO:BP	19	['VPS18', 'VPS11']	C888
"""Any process in which a melanosome is transported to, and/or maintained in, a specific location within the cell."" [GOC:ln]"	melanosome localization	0.0022814192790236404	0.125	0.08	16	18123	2	GO:0032400	GO:BP	25	['VPS33B', 'VPS33A']	C888
"""Any process in which a pigment granule is transported to, and/or maintained in, a specific location within the cell."" [GOC:ai]"	pigment granule localization	0.002420859946047993	0.125	0.07692307692307693	16	18123	2	GO:0051875	GO:BP	26	['VPS33B', 'VPS33A']	C888
"""The process of targeting specific proteins to particular regions of the cell, typically membrane-bounded subcellular organelles. Usually requires an organelle specific protein sequence motif."" [GOC:ma]"	protein targeting	0.003487499531639942	0.25	0.01	16	18123	4	GO:0006605	GO:BP	400	['MON1A', 'MON1B', 'VPS11', 'VPS4A']	C888
